"CNPJ ENTIDADE";"NOME ENTIDADE";"NÚMERO CONVÊNIO";"ÓRGÃO CONCEDENTE";"MOTIVO DO IMPEDIMENTO"
"05005694000173";"CENTRO CULTURAL INTERNACIONAL - INTERCULT - BSB";"637469";"";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"34098244000170";"CONFEDERACAO BRASILEIRA DE TIRO ESPORTIVO";"750019";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"07254235000159";"ETHOS INSTITUTO DE EDUCACAO";"726158";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"05471900000130";"ASSOCIACAO GRUPO IPE AMARELO DE CONSCIENTIZACAO E LUTA PELA LIVRE ORIENTACAO SEXUAL";"571436";"";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"05471900000130";"ASSOCIACAO GRUPO IPE AMARELO DE CONSCIENTIZACAO E LUTA PELA LIVRE ORIENTACAO SEXUAL";"571436";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"09529637000144";"ASSOCIACAO BRASILEIRA DA INDUSTRIA DE HOTEIS CEARA";"706527";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"13902374000144";"ASSOCIACAO DE ASSISTENCIA COMUNITARIA DO JUNCO";"";"MINISTERIO DA JUSTICA - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FISICA DO OBJETO"
"03194651000158";"SINDICATO RURAL DE TANGARA DA SERRA";"416082";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"14828891000183";"SOCIEDADE 1 DE MAIO DE NOVOS ALAGADOS";"514464";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"00315554000188";"ECAIG ESCOLA DE CAPOEIRA ANGOLA IRMAOS GEMEOS";"533971";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"00316711000170";"SINDICATO DAS INDUSTRIAS DO VESTUARIO DO D.F";"523608";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03007731000157";"CONSELHO DA COMUNIDADE DE FISCALIZACAO DA EXECUCAO PENAL E PROVIMENTO CARCERARIO DO MUNICIPIO DE IMPERATRIZ";"480837";"MINISTERIO DA JUSTICA - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03603739000186";"SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC";"726021";"MINISTERIO DO TRABALHO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"06016697000175";"ASSOCIACAO DE CAPOEIRA CORDA BAMBA DE LENCOIS";"534004";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"03603739000186";"SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC";"726021";"";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"05005694000173";"CENTRO CULTURAL INTERNACIONAL - INTERCULT - BSB";"622877";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"00839572000169";"ASSOCIACAO POPULAR DE CULTURA CACERENSE";"523341";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"01923684000166";"ASSOC.DA ESCOLA DAS FAMILIAS AGRIC.DA PERIM.NORTE-AEFAPEN";"570879";"PRESIDENCIA DA REPUBLICA";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"06087561000156";"ASSOCIACAO DE APOIO A POLITICA DE MELHORIA DA QUALIDADE DE VIDA,CONVIVENCIA COM SECA,MEIO AMBIENTE E VERTICALIZACAO";"651561";"PRESIDENCIA DA REPUBLICA";"NAO EXECUTOU TOTALMENTE O OBJETO PACTUADO"
"05762876000199";"PRECTOR - INSTITUTO BRASILEIRO DE CULTURA E EDUCACAO";"552655";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"06087561000156";"ASSOCIACAO DE APOIO A POLITICA DE MELHORIA DA QUALIDADE DE VIDA,CONVIVENCIA COM SECA,MEIO AMBIENTE E VERTICALIZACAO";"720494";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"13069323000183";"CECUP - CENTRO DE EDUCACAO E CULTURA POPULAR";"726173";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"436486";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"06087561000156";"ASSOCIACAO DE APOIO A POLITICA DE MELHORIA DA QUALIDADE DE VIDA,CONVIVENCIA COM SECA,MEIO AMBIENTE E VERTICALIZACAO";"708989";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"534790";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"518479";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"94725306000159";"ASSOCIACAO DE AMIGOS DA OKTOBERFEST DE IGREJINHA";"742135";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"487500";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"05317514000199";"INSTITUTO MARCA BRASIL";"739222";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"487719";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"23569502000133";"IRMANDADE DA SANTA CASA DE MISERICORDIA DE PITANGUI";"810605";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"08195480000103";"CONSELHO DE MORADORES CULTURA E EVENTOS DO BAIRRO DA LIBERDADE";"703704";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"94725306000159";"ASSOCIACAO DE AMIGOS DA OKTOBERFEST DE IGREJINHA";"704835";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"479952";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"674970";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"390397";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"636848";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"33563867000104";"ASSOCIACAO COMUNITARIA DE MIRANORTE";"";"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"664157";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"465915";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"550364";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA PELO CONVENENTE"
"05317514000199";"INSTITUTO MARCA BRASIL";"660422";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"34599282000107";"COLONIA DE PESCADORES E PESCADORAS ARTESANAIS DE CACHOEIRA DO ARARI/ Z-40";"488693";"MINISTERIO DO MEIO AMBIENTE - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DA PRESTACAO DE CONTAS"
"86756939000104";"NUCLEO CULTURAL NIGER OKAN";"576557";"";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"04841055000185";"CASA LAUDELINA DE CAMPOS MELLO - ORGANIZACAO DA MULHER NEGRA";"637515";"";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"24060964000193";"CENTRO NORDESTINO DE MEDICINA POPULAR";"406129";"MINISTERIO DA INTEGRACAO NACIONAL - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"86756939000104";"NUCLEO CULTURAL NIGER OKAN";"576557";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"04841055000185";"CASA LAUDELINA DE CAMPOS MELLO - ORGANIZACAO DA MULHER NEGRA";"637515";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FINANCEIRA"
"00077568000100";"INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA";"470940";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"UTILIZOU OS RECURSOS EM DESACORDO C/PROG TRAB"
"05317514000199";"INSTITUTO MARCA BRASIL";"601084";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"05317514000199";"INSTITUTO MARCA BRASIL";"590161";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"IRREGULARIDADE NA EXECUCAO FIS. E FINANCEIRA"
"05138895000149";"AGENCIA REG DE COMERCIALIZACAO DA MATA NORTE DE PERNAMBUCO";"469542";"PRESIDENCIA DA REPUBLICA";"ATRASO NA DEVOLUCAO DE RECURSOS"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"639108";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"ATRASO NA DEVOLUCAO DE RECURSOS"
"23514011000195";"DISTRITO DE IRRIGACAO TABULEIROS LITORANEOS-PI";"488019";"MINISTERIO DA INTEGRACAO NACIONAL - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"80987829000169";"ASSOCIACAO DE PAIS E AMIGOS DOS EXEPCIONAIS DE IMARUI";"455412";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"55650881000188";"UNIAO BRASILEIRA DOS PROMOTORES DE FEIRAS UBRAFE";"566900";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"399324";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"86865110000131";"ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS";"482754";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"450708";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"639107";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSTAURACAO DE TOMADA DE CONTAS ESPECIAL"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"534750";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"01024643000138";"UNIAO DOS VEREADORES DO ESTADO DE SAO PAULO UVESP";"605641";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"639106";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"04692431000117";"ASSOCIACAO COMUNITARIA RURAL DOS MORADORES DO SITIO SAO MATEUS, OLHO D'AGUA, EMBURANAS - ADJACENCIAS";"534755";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"594088";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"334832";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"00077568000100";"INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA";"400364";"MINISTERIO DOS DIREITOS HUMANOS - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"13069323000183";"CECUP - CENTRO DE EDUCACAO E CULTURA POPULAR";"599772";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"501192";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"534382";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"21347075000113";"SERVIR - SERVICO DE PROMOCAO DA CRIANCA E DO ADOLESCENTE";"490945";"MINISTERIO DO ESPORTE - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"55650881000188";"UNIAO BRASILEIRA DOS PROMOTORES DE FEIRAS UBRAFE";"593750";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"371171";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"533224";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"00077568000100";"INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA";"400364";"";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"05317514000199";"INSTITUTO MARCA BRASIL";"653302";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"02988401000127";"ASSOCIACAO INTEGRACAO DE RADIO DIFUSAO COMUNITARIA";"524394";"MINISTERIO DA CULTURA - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"639105";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"NAO APRESENTACAO DE DOCUMENTACAO COMPLEMENTAR"
"05291004000190";"INSTITUTO BRASILEIRO DE DESENVOLVIMENTO LOCAL";"487292";"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS - UNIDADES COM VÍNCULO DIRETO";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"03354241000127";"FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO DA UNISUL";"574097";"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL - UNIDADES COM VÍNCULO DIRETO";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"09185398000152";"FUNDACAO DE APOIO A PESQUISA E A EXTENSAO";"665726";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"ATRASO NA ENTREGA DA PRESTACAO DE CONTAS"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"726138";"";"MOTIVO NÃO ESPECIFICADO"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"723805";"MINISTERIO DO TRABALHO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"723805";"";"MOTIVO NÃO ESPECIFICADO"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"752258";"";"MOTIVO NÃO ESPECIFICADO"
"01832903000100";"INSTITUTO DE DESENVOLVIMENTO SOCIAL - IDS";"774433";"PRESIDENCIA DA REPUBLICA";"MOTIVO NÃO ESPECIFICADO"
"07235954000122";"FEAGRO-VALE FEIRA E EXPOSICAO AGROPECUARIA DO VALE DO BRACO DO NORTE E REGIAO";"736671";"MINISTERIO DO TURISMO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"752258";"MINISTERIO DO TRABALHO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"00755569000167";"MOVIMENTO CENTRO DE CULTURA E AUTOFORMACAO";"535263";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"05782553000167";"COOPERATIVA DOS ARMADORES DE PESCA E AQUICULTORES DO ESTADO DA PARAIBA";"728023";"PRESIDENCIA DA REPUBLICA";"MOTIVO NÃO ESPECIFICADO"
"06303088000105";"ASSOCIACAO DE DEFESA DO MEIO AMBIENTE DE REIMER";"726138";"MINISTERIO DO TRABALHO - UNIDADES COM VÍNCULO DIRETO";"MOTIVO NÃO ESPECIFICADO"
"02161201000104";"INSTITUTO TREINAR DE EDUCACAO E TECNOLOGIA";"569459";"MINISTERIO DA EDUCACAO - UNIDADES COM VÍNCULO DIRETO";"INSCRICAO POR DECISAO DO T.C.U."
"01318855000128";"FUNDACAO INTERUNIVERSITARIA DE EST E PESQ SB O TRABALHO";"511866";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES - UNIDADES COM VÍNCULO DIRETO";"DESCUMPRIMENTO DE CLAUSULA/CONDICAO DO INSTR."
