Data da Publicação;Id do Relatório;Nº da OS;DescUnidadeExaminada;codOrgaoSiafi;Órgão;TituloResumido;Estado;Município;Ciclo Programa FEF;Título do Relatório;Situação do Relatório;Linha de Atuação
2018/05/30 09:05:07.000000000;11029;201408130;SAO PAULO;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;SP;São Paulo;;Relatório nº 201408130 - Secretaria Nacional de Saneamento Ambiental - AEPG Drenagem Urbana;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:06.000000000;11169;201700465;CEF/MINISTERIO DO TURISMO/MTUR;54000;MINISTERIO DO TURISMO;MINIST. DO TURISMO;PE;São Lourenço da Mata;;RDE nº 201700465 - Prefeitura de São Lourenço/PE - Construção de praças (Contrato de Repasse nº 792159);Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 09:05:03.000000000;11055;201700213;SECRETARIA DE POLITICA AGRICOLA;22000;MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO;MIN.AGRICULTURA;GO;Turvelândia;;Relatório n° 201700213 - Subvenção ao Prêmio do Seguro Rural.;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 09:05:00.000000000;11053;201700212;SECRETARIA DE POLITICA AGRICOLA;22000;MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO;MIN.AGRICULTURA;GO;Santa Helena de Goiás;;Relatório n° 201700212 - Subvenção ao Prêmio do Seguro Rural.;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:59.000000000;11022;201701605;FUNDO MUNICIPAL DE SAUDE DE MONTES CLAROS;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;MG;Montes Claros;;RDE nº 201701605 - Implantação, Construção e Ampliação de Unidades de Pronto Atendimento - UPA;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 08:05:59.000000000;10475;201106588;ICO PREFEITURA GABINETE DO PREFEITO;42000;MINISTERIO DA CULTURA;MINC;CE;Icó;;Relatório nº 201106588 - PM Icó/CE - Programa Monumenta - Revitalização do Patrimônio Histórico - Execução da Obra;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:53.000000000;10942;201604630;SURUBIM GABINETE PREFEITO;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;PE;Surubim;;RDE nº 201604630 - Execução Financeira da Atenção Básica;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 08:05:53.000000000;10864;201701769;CAIXA ECONOMICA FEDERAL;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;ES;Vila Velha;;Relatório nº 201701769 - CAIXA - Avaliação do Programa Minha Casa Minha Vida;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:49.000000000;11027;201505072;SECRET. NAC. SANEAM. AMBIENTAL M.CIDADES;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;PR;Pinhais;;Relatório nº 201505072 - Secretaria Nacional de Saneamento Ambiental - AEPG Drenagem Urbana;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:44.000000000;10857;201701230;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;CE;Redenção;;Relatório de Auditoria Anual de Contas nº 201701230 - Universidade da Integração Internacional da Lusofonia Afro-Brasileira - UNILAB - exercício de 2017;Publicado;Auditoria Anual de Contas
2018/05/30 08:05:41.000000000;10803;201408457;MUNICIPIO DE FORMIGA;42000;MINISTERIO DA CULTURA;MINC;MG;Formiga;;Relatório nº 201408457 - PM de Formiga/MG - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:39.000000000;11012;201701959;PARICONHA PREFEITURA;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;AL;Pariconha;;Relatório de Avaliação dos Resultados da Gestão nº 201701959 - Saneamento Básico;Publicado;Avaliação dos Resultados da Gestão
2018/05/30 08:05:35.000000000;10965;201412951;SUPERINTENDENCIA DO IPHAN NA BAHIA, IPHAN-BA;42000;MINISTERIO DA CULTURA;MINC;BA;Salvador;;Relatório de Auditoria nº 201412951 - IPHAN-BA;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/30 08:05:30.000000000;10564;201601778;ARARA GABINETE PREFEITO;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;PB;Arara;;RDE nº 201601778 - 1ª Etapa do Sistema de Esgotamento Sanitário - Lagoa;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 08:05:30.000000000;9935;201600101;SUPERINTENDêNCIA DE ADMINISTRAçãO DO MF/PR;25000;MINISTERIO DA FAZENDA;MIN. DA FAZENDA;PR;Curitiba;;Relatório de Avaliação dos Resultados de Gestão nº 201600101 - SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MINISTÉRIO DA FAZENDA NO ESTADO DO PARANÁ - SAMF/PR;Publicado;Avaliação dos Resultados da Gestão
2018/05/30 08:05:26.000000000;11026;201503804;SECRET. NAC. SANEAM. AMBIENTAL M.CIDADES;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;PR;Curitiba;;Relatório nº 201503804 - Secretaria Nacional de Saneamento Ambiental - AEPG Drenagem Urbana;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:24.000000000;10204;201700024;SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF;25000;MINISTERIO DA FAZENDA;MIN. DA FAZENDA;RS;Porto Alegre;;Relatório nº 201700024 - Superintendência Regional da Receita Federal do Brasil na 10ª Região Fiscal (SRRF10);Publicado;Auditoria de Acompanhamento da Gestão
2018/05/30 08:05:19.000000000;10998;201700447;COMISSÃO NACIONAL DE ENERGIA NUCLEAR - SEDE;24000;MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO;MCT;RJ;Rio de Janeiro;;Relatório de Auditoria nº 201700447 - Comissão Nacional de Energia Nuclear - CNEN;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/30 08:05:18.000000000;11028;201600203;SECRET. NAC. SANEAM. AMBIENTAL M.CIDADES;56000;MINISTERIO DAS CIDADES;MINIST. DAS CIDADES;RS;Porto Alegre;;Relatório nº 201600203 - Secretaria Nacional de Saneamento Ambiental - AEPG Drenagem Urbana;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:15.000000000;10903;201502609;CARAVELAS PREFEITURA MUNICIPAL;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;BA;Caravelas;;RDE nº 201502609 - Estruturação da Rede de Serviços de Unidades Básica de Saúde - UBS;Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 08:05:14.000000000;10919;201700021;MUNICIPIO DE ARCOVERDE;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;PE;Arcoverde;;RDE nº 201700021 - Programa Nacional de Apoio ao Transporte do Escolar (Pnate);Publicado;Apuração de Representações e Demandas Sociais
2018/05/30 08:05:12.000000000;10629;201408504;PREFEITURA MUNICIPAL DE PETROPOLIS;42000;MINISTERIO DA CULTURA;MINC;RJ;Petrópolis;;Relatório nº 201408504 - PM Petrópolis-RJ - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/30 08:05:11.000000000;11013;201701960;PARICONHA PREFEITURA;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;AL;Pariconha;;Relatório de Avaliação dos Resultados da Gestão nº 201701960 - Saneamento Básico;Publicado;Avaliação dos Resultados da Gestão
2018/05/30 08:05:03.000000000;10665;201701432;BANCO DO NORDESTE DO BRASIL S/A;25000;MINISTERIO DA FAZENDA;MIN. DA FAZENDA;CE;Fortaleza;;Relatório de Auditoria Anual de Contas nº 201701432 - BNB - exercício de 2016;Publicado;Auditoria Anual de Contas
2018/05/29 16:05:12.000000000;10858;;;;;;;;;Relatório nº 83 - PROCREMA - Programa de Contratação, Restauração e Manutenção Por Resultados;Publicado;Relatório de Avaliação da Execução de Programas de Governo
2018/05/29 11:05:46.000000000;9759;201603245;DNOCS - CEST/RN - NATAL-RN;53000;MINISTERIO DA INTEGRACAO NACIONAL;MIN.INTEGR.NACIONAL;RN;Martins;;RDE º 00190.009543/2015-97 - DNOCS -  Passagens Molhadas em Martins/RN;Publicado;Apuração de Representações e Demandas Sociais
2018/05/28 16:05:33.000000000;11345;;;;;;;;;Relatório de Avaliação - Governança Previdenciária;Publicado;Auditoria por Área de Gestão
2018/05/28 10:05:59.000000000;11299;201702219;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;RJ;Rio de Janeiro;;Relatório de Avaliação dos Resultados da Gestão n. 201702219 - UNIVERSIDADE FEDERAL DO RIO DE JANEIRO ? UFRJ;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:54.000000000;11326;201412347;GERÊNCIA EXECUTIVA SALVADOR;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;BA;Salvador;;Relatório de Auditoria nº 201412347 - GEX INSS Salvador BA;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:52.000000000;11319;201317435;GERÊNCIA EXECUTIVA CONTAGEM;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;MG;Contagem;;Relatório de Auditoria nº 201317435 - GEX INSS Contagem MG;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:52.000000000;11325;201408553;GERÊNCIA EXECUTIVA ARACAJU;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;SE;Aracaju;;Relatório de Auditoria nº 201408553 - GEX INSS Aracaju SE;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:48.000000000;11316;201317427;GERÊNCIA EXECUTIVA SALVADOR;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;BA;Salvador;;Relatório de Auditoria nº 201317427 - GEX INSS Salvador BA;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:44.000000000;11168;201308756;INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;AM;Manaus;;Relatório de Auditoria nº 201308756 - Instituto Federal de Educação, Ciência e Tecnologia do Amazonas;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:40.000000000;11272;201702024;FUNDACAO DE APOIO DA UNIVERSIDADE FEDERAL DO RGS;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;RS;Porto Alegre;;Relatório de Avaliação dos Resultados da Gestão nº 201702024 - Fundação de Apoio da Universidade Federal do Rio Grande do Sul - Programa Nacional Telessaúde Brasil Redes;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:40.000000000;11271;201702182;Empresa Brasileira de Serviços Hospitalares - Husm-Ufsm;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;RS;Santa Maria;;Relatório de Avaliação dos Resultados da Gestão nº 201702182 - Empresa Brasileira de Serviços Hospitalares - Husm-Ufsm;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:37.000000000;11314;201208907;GERÊNCIA EXECUTIVA DUQUE DE CAXIAS;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;RJ;Duque de Caxias;;Relatório de Auditoria nº 201208907 - GEX INSS Duque de Caxias RJ;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:35.000000000;10954;201701561;Superintendência - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - Pernambuco;44000;MINISTERIO DO MEIO AMBIENTE;MIN. MEIO AMBIENTE;PE;Recife;;Relatorio de Avaliação dos Resultados da Gestão n.º 201701561 IBAMA-PE;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:33.000000000;11320;201317439;GERÊNCIA EXECUTIVA BELO HORIZONTE;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;MG;Belo Horizonte;;Relatório de Auditoria nº 201317439 - GEX INSS Belo Horizonte MG;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:29.000000000;11322;201317441;GERÊNCIA EXECUTIVA ARACAJU;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;SE;Aracaju;;Relatório de Auditoria nº 201317441 - GEX INSS Aracaju SE;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:26.000000000;11324;201407831;GERÊNCIA EXECUTIVA CAMPINAS;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;SP;Campinas;;Relatório de Auditoria nº 201407831 - GEX INSS Campinas SP;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:25.000000000;11318;201317433;GERÊNCIA EXECUTIVA CAMPO GRANDE;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;MS;Campo Grande;;Relatório de Auditoria nº 201317433 - GEX INSS Campo Grande MS;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:22.000000000;11011;201702502;Empresa Brasileira de Serviços Hospitalares;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;DF;Brasília;;Relatório de Avaliação dos Resultados da Gestão nº 201702502 - EBSERH;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:12.000000000;11323;201317447;GERÊNCIA EXECUTIVA JOÃO PESSOA;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;PB;João Pessoa;;Relatório de Auditoria nº 201317447 - GEX INSS João Pessoa PB;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:07.000000000;11317;201317432;GERÊNCIA EXECUTIVA FLORIANÓPOLIS;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;SC;Florianópolis;;Relatório de Auditoria nº 201317432 - GEX INSS Florianópolis SC;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:05.000000000;11315;201208983;GERÊNCIA EXECUTIVA RIO DE JANEIRO-CENTRO;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;RJ;Rio de Janeiro;;Relatório de Auditoria nº 201208983 - GEX INSS Rio de Janeiro;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/28 10:05:04.000000000;10813;201700074;DISTRITO SANIT.ESP.INDIGENA - POTIGUARA;36000;MINISTERIO DA SAUDE;MINISTERIO DA SAUDE;PB;João Pessoa;;Relatório de Avaliação dos Resultados da Gestão nº 201700074 - Distrito Sanitário Especial Indígena Potiguara - DSEI/Potiguara;Publicado;Avaliação dos Resultados da Gestão
2018/05/28 10:05:01.000000000;11297;201702213;Fundação Universidade Federal do Rio de Janeiro;26000;MINISTERIO DA EDUCACAO;MIN.EDUCACAO;RJ;Rio de Janeiro;;Relatório de Avaliação dos Resultados da Gestão n. 201702213 - Universidade Federal do Estado do Rio de Janeiro - UNIRIO;Publicado;Avaliação dos Resultados da Gestão
2018/05/24 06:05:59.000000000;10794;201408450;PREFEITURA MUNICIPAL DE DOURADOS;42000;MINISTERIO DA CULTURA;MINC;MS;Dourados;;Relatório nº 201408450 - PM de Dourados/MS - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/24 06:05:49.000000000;11120;201408512;P M R;42000;MINISTERIO DA CULTURA;MINC;SP;Registro;;Relatório nº 201408512 - PM de Registro/SP - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 16:05:47.000000000;11097;201408486;MATAO GABINETE PREFEITO;42000;MINISTERIO DA CULTURA;MINC;SP;Matão;;Relatório nº 201408486 - Gabinete PM de Matão/SP - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 14:05:54.000000000;11335;201603444;SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;PR;Curitiba;;Relatório de Fiscalização nº 201603444 - SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA PR;Publicado;Fiscalização em Entes Federativos - Estados
2018/05/23 14:05:52.000000000;11308;201000635;APS SÃO JOSÉ DE RIBAMAR;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;MA;São José de Ribamar;;Relatório nº 201000635 - APS São José de Ribamar MA - Aposentadorias Área Rural;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 14:05:37.000000000;11336;201603445;SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;PR;Curitiba;;Relatório de Fiscalização nº 201603445 - SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA PR;Publicado;Fiscalização em Entes Federativos - Estados
2018/05/23 14:05:35.000000000;11333;201603440;SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;PR;Marechal Cândido Rondon;;Relatório de Fiscalização nº 201603440 - Secretaria de Estado da Justiça PR;Publicado;Fiscalização em Entes Federativos - Estados
2018/05/23 14:05:24.000000000;10661;201701791;7A.Superintendência da Polícia Rodoviária Federal - Paraná;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;PR;Curitiba;;Relatório de Auditoria nº 201701791 - 7ª Superintendência da Polícia Rodoviária Federal no Paraná ? 7ªSRPRF/PR;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/23 14:05:24.000000000;11309;201000729;APS SÃO JOSÉ DE RIBAMAR;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;MA;São José de Ribamar;;Relatório nº 201000729 - APS São José de Ribamar MA - Pensões Área Rural;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 14:05:19.000000000;11334;201603441;SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;PR;Marechal Cândido Rondon;;Relatório de Fiscalização nº 201603441 - Secretaria de Estado da Justiça PR;Publicado;Fiscalização em Entes Federativos - Estados
2018/05/23 14:05:15.000000000;9696;201603446;SECRETARIA DE ESTADO DA JUSTICA E SEGURANCA PUBLICA;30000;MINISTERIO DA JUSTICA;MIN.DA JUSTICA;SC;Florianópolis;;Relatório de Avaliação dos Resultados da Gestão nº 201603446 - SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA/SC;Publicado;Avaliação dos Resultados da Gestão
2018/05/23 14:05:04.000000000;10921;201701949;Superintendência do Instituto do Patrimônio Histórico e Artístico Nacional - Pernambuco;42000;MINISTERIO DA CULTURA;MINC;PE;Recife;;Relatório de Avaliação dos Resultados da Gestão nº 201701949 - IPHAN/PE;Publicado;Avaliação dos Resultados da Gestão
2018/05/23 08:05:55.000000000;11280;201408927;MUSEU HISTORICO NACIONAL - RIO DE JANEIRO;42000;MINISTERIO DA CULTURA;MINC;RJ;Rio de Janeiro;;Relatório nº 201408927 - Museu Histórico Nacional/RJ - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 08:05:54.000000000;11277;201408924;MUSEU DA REPUBLICA - RIO DE JANEIRO;42000;MINISTERIO DA CULTURA;MINC;RJ;Rio de Janeiro;;Relatório nº 201408924 - Museu da República/RJ - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 08:05:52.000000000;11275;201317420;GERÊNCIA EXECUTIVA FORTALEZA;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;CE;Fortaleza;;Relatório de Auditoria nº 201317420 - GEX Fortaleza CE - Ação 2593 Funcionamento Unid. Desc. da Prev. Social;Publicado;Auditoria de Acompanhamento da Gestão
2018/05/23 08:05:48.000000000;11288;201408937;MUSEU DA ABOLICAO;42000;MINISTERIO DA CULTURA;MINC;PE;Recife;;Relatório nº 201408937 - Museu da Abolição/PE - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 08:05:36.000000000;10203;201603334;GERÊNCIA EXECUTIVA PORTO ALEGRE;33000;MINISTERIO DA PREVIDENCIA SOCIAL;MPS;RS;Porto Alegre;;Relatório de Avaliação dos Resultados da Gestão nº 201603334 - Gerência Executiva do Instituto Nacional do Seguro Social em Porto Alegre (INSS-GEX-POA);Publicado;Avaliação dos Resultados da Gestão
2018/05/23 08:05:33.000000000;11286;201408933;MUSEU VILLA-LOBOS - RIO DE JANEIRO;42000;MINISTERIO DA CULTURA;MINC;RJ;Rio de Janeiro;;Relatório nº 201408933 - Museu Villa-Lobos/RJ - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 08:05:31.000000000;11284;201408931;MUSEUS RAYMUNDO OTTONI DE CASTRO MAYA/RJ;42000;MINISTERIO DA CULTURA;MINC;RJ;Rio de Janeiro;;Relatório nº 201408931 - Museu Raymundo Ottoni de Castro Maya/RJ - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
2018/05/23 08:05:27.000000000;11281;201408928;MUSEU IMPERIAL - PETROPOLIS;42000;MINISTERIO DA CULTURA;MINC;RJ;Petrópolis;;Relatório nº 201408928 - Museu Imperial/RJ - Funcionamento de Espaços e Equipamentos Culturais;Publicado;Avaliação da Execução de Programas de Governo / Relatório Individual
